	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	direction
ARMC1	684.00693877774	1.22775124068949	0.159900922768167	7.67819984672351	1.61339661737314e-14	1.43541242091229e-12	up
KPNA5	1529.7427316303	2.16949208374257	0.282686829269328	7.67454249407426	1.66010084215524e-14	1.46767531686643e-12	up
PYROXD2	113.691543898085	-1.48406601606666	0.193479233751187	-7.67041499644948	1.71440752534941e-14	1.50621416148979e-12	down
TRIM56	1625.44230602806	-1.66764273329916	0.217585503160436	-7.66430993368858	1.7979524489878e-14	1.56980233387711e-12	down
SPEN	2823.89039549858	-1.94480781334492	0.253778583764741	-7.66340399766676	1.81068629561154e-14	1.57116155909947e-12	down
LGALS1	4395.95125758242	2.3123576550757	0.30220686862249	7.6515721353913	1.98536886974217e-14	1.71216749705311e-12	up
TMCC1	901.723253530498	-1.95174016562773	0.25517144043766	-7.64874063602171	2.02957127419009e-14	1.73961484154208e-12	down
ERGIC3	888.539351789459	1.54930707638234	0.202813142204458	7.63908620290724	2.18768807301342e-14	1.8637776510515e-12	up
ENO1	8496.25127821285	1.28407756958551	0.168135287736303	7.63716877565528	2.22050345198283e-14	1.88033837497124e-12	up
GIN1	488.527205392856	2.00639851275581	0.262794622175412	7.63485377344048	2.26076872147097e-14	1.90297161183937e-12	up
LAGE3	106.441243111891	2.7543662439885	0.360920906581355	7.63149541565179	2.32046094579749e-14	1.91874820676914e-12	up
APRT	1114.81089008674	1.57077304313451	0.205786811045108	7.63301124672269	2.29332867496769e-14	1.91874820676914e-12	up
RIPK1	676.612021897014	-1.08226229955442	0.141809614550876	-7.6317977661955	2.31502400184843e-14	1.91874820676914e-12	down
URGCP-MRPS24	340.042873382272	1.49792577165972	0.196574880373691	7.62012811002173	2.53424072712653e-14	2.0832644386677e-12	up
GSTP1	3381.67466317466	2.08140074478617	0.2732453792738	7.61733190262129	2.58972829969687e-14	2.11650062260691e-12	up
CENPB	1242.67569524657	1.29107254542609	0.169739076459645	7.60621874676594	2.82231446427572e-14	2.28007324277723e-12	up
P2RY12	524.35166055218	2.42255651509002	0.318577312965676	7.60429703087813	2.86456653636963e-14	2.30098353152845e-12	up
TXNDC17	166.581700780232	1.39908928989501	0.184008807394827	7.60338219514128	2.88489867357993e-14	2.3041489008246e-12	up
PABPC1L	334.766007453582	-1.50027133659181	0.197521092445396	-7.59549938701637	3.06607684386089e-14	2.43501933300297e-12	down
ZNF581	448.424571819176	1.64048747642212	0.216076894116753	7.59214668985251	3.1464851487135e-14	2.48483942334077e-12	up
ZNF490	356.475409350649	-1.54676708738266	0.20376620718067	-7.59089109418038	3.17712906719524e-14	2.49502253059014e-12	down
GAB3	1502.49846754775	-1.12376624396712	0.148171547765607	-7.58422423814327	3.34482248786928e-14	2.61212053955436e-12	down
NBPF26	1156.64014425534	-1.83822733588388	0.242452994844817	-7.58178853208411	3.40823477684344e-14	2.64693680983913e-12	down
IWS1	628.870085724954	-1.35725927676738	0.179265876499687	-7.57120821468633	3.69768827054924e-14	2.8559562647863e-12	down
CCDC7	617.822617421109	1.9714240877506	0.260495620105017	7.56797402948977	3.79089748954675e-14	2.91194786942944e-12	up
ASF1A	783.952401629736	1.3256661374344	0.175193981584705	7.56684747639833	3.82390426252093e-14	2.92133816403569e-12	up
RPS10	16299.0443751383	1.75941706800404	0.232626596979982	7.56326701609036	3.93069549015744e-14	2.98669116244017e-12	up
JMJD4	570.011801150151	1.60678210189622	0.212590736611561	7.55810026112324	4.0899874436361e-14	3.09101900511789e-12	up
GSTO1	1274.94997925156	1.27498532166578	0.168828204497929	7.5519687332896	4.28727426668351e-14	3.20564970036012e-12	up
SEC62	2434.9370297608	1.21949296473907	0.161467901771696	7.55254110171907	4.26846873326669e-14	3.20564970036012e-12	up
BCAP31	2665.2151646146	1.17798657644743	0.156374963727521	7.53308936653081	4.95536715335975e-14	3.6855870939036e-12	up
MCRIP1	620.598711568732	1.94249778850388	0.258204556514554	7.52309647329706	5.34939210388677e-14	3.9577055160177e-12	up
SF3B5	831.888464602262	1.80761691337574	0.240342461846946	7.52100523346914	5.4356673452017e-14	4.00048041212043e-12	up
CALM2	7875.38901180481	1.29480048744808	0.172313399697278	7.51421821937701	5.72520187272974e-14	4.19162305859177e-12	up
TOMM6	1057.47110211598	1.23041447705857	0.163790610264074	7.51211852178103	5.8178078774132e-14	4.23735364418639e-12	up
POLR2K	534.028000716562	1.6055011807144	0.213747155437985	7.51121659338392	5.85803763400979e-14	4.24466159903482e-12	up
CCDC85B	274.327782508033	2.04936501273986	0.273176636986379	7.50197760448322	6.28621145913118e-14	4.50843237147995e-12	up
SUDS3	1370.0019443534	-1.02903208693593	0.137163197023249	-7.50224629688028	6.27333539368452e-14	4.50843237147995e-12	down
GCHFR	101.37660690065	1.98764541246773	0.26498755418285	7.50090100871752	6.3380643546556e-14	4.52254673265958e-12	up
RPS15	5220.87561866268	1.3871730875967	0.184997589998663	7.49833058693752	6.46357199077749e-14	4.58880967042218e-12	up
MPDU1	969.702008588505	1.91566045131858	0.255628284889961	7.4939299152408	6.68414247517079e-14	4.72155732530029e-12	up
FBXL15	396.969072128426	1.81205246536664	0.24203459368181	7.48674988067553	7.06000619027394e-14	4.96212535083404e-12	up
SUGP2	1628.27072250847	-1.09964058655429	0.14694741727217	-7.48322499957643	7.25205636239914e-14	5.0717490689674e-12	down
ATP6V1F	1476.16407131213	1.93718861418853	0.259026092001206	7.47873930082502	7.50389620652083e-14	5.22189450371601e-12	up
TMEM147	390.641620881985	1.50350058743668	0.201185770735554	7.47319545482634	7.82704555849244e-14	5.41993987269597e-12	up
POLR2L	183.322614772196	1.48893616683577	0.199306917093425	7.47056945413403	7.98485118060729e-14	5.5021104434214e-12	up
ELP4	462.285868965986	1.36117877175689	0.182989198618228	7.43857441879254	1.01777634413714e-13	6.94508838326981e-12	up
UBAP1L	215.394154908837	-1.8560436737495	0.249507324600642	-7.43883441786833	1.01577548612414e-13	6.94508838326981e-12	down
PKHD1L1	257.548865007059	2.65226552351638	0.356640750148264	7.43679885827341	1.03154434172313e-13	7.00503324231982e-12	up
CAMK1D	324.018094043678	-2.34528955997096	0.315545173524935	-7.43250018300671	1.065639547934e-13	7.20177650255206e-12	down
ITM2C	878.390098613362	1.81069716576379	0.244185054317931	7.41526614239974	1.21380808228976e-13	8.16387569987902e-12	up
TIGD5	141.514758876454	1.8482186493013	0.249326961157718	7.4128310902252	1.2363130918238e-13	8.27564434846058e-12	up
VPS51	2191.74234581402	1.54803916606658	0.209046684047682	7.40523186540232	1.30921516344042e-13	8.72210310544171e-12	up
KLC1	1662.83245040768	-1.40431617499683	0.189843200137441	-7.39724242943729	1.39041574348621e-13	9.21937457838946e-12	down
ISOC2	170.518765424607	2.12129810732949	0.286893877639635	7.39401664748678	1.42458565197012e-13	9.40159648344785e-12	up
CELF1	4498.18054194127	-1.23083194085337	0.166483513407427	-7.39311608496162	1.43427153222204e-13	9.42128734974074e-12	down
SRP9	1880.2803844656	1.45427066777723	0.196793789819469	7.38981991815555	1.47027804189481e-13	9.61288299298388e-12	up
MAF1	1726.54523418378	1.43910001775009	0.194823982211154	7.38666770598275	1.50554223931853e-13	9.79787373060215e-12	up
CORO1B	1259.47809023612	1.78553929236547	0.242045135563737	7.37688567137219	1.6203503432669e-13	1.04964353803239e-11	up
TPGS1	138.403117119411	2.21612605138455	0.300577623341787	7.37289099150468	1.66967010494652e-13	1.07663085620336e-11	up
KANSL1	2116.04727298526	-1.23933977098404	0.168130872849975	-7.37128018177791	1.68997241476833e-13	1.08474622074879e-11	down
TRAM1	3703.6872723356	1.68847513337432	0.22915572224897	7.36824337966933	1.72890945597617e-13	1.10469455557532e-11	up
CYSLTR1	1199.50054524514	1.65140782784949	0.224175499088584	7.36658481664372	1.75054586062432e-13	1.11345806166498e-11	up
LY6G6F	183.284047329473	2.48115789627714	0.336903787666717	7.36458890373661	1.77693599760313e-13	1.12515267199582e-11	up
SYNJ2BP-COX16	212.625378977125	1.60853743343098	0.218489014299579	7.36209753422864	1.8104260851858e-13	1.14121791387699e-11	up
RPLP0	22213.6146862452	1.42885386248572	0.194105881998885	7.36120846916904	1.82252679709398e-13	1.14371692797992e-11	up
RPS9	14173.5885371188	1.66153531335853	0.225788711116791	7.35880596129134	1.85562528770107e-13	1.15418250748734e-11	up
ENTPD4	2535.51913647723	-1.03312142382883	0.140391765182697	-7.35884631469933	1.85506450715407e-13	1.15418250748734e-11	down
CFDP1	187.0250972729	-1.38171916140083	0.187791311542638	-7.35773742699012	1.87053516828497e-13	1.15833096302123e-11	down
